,Sigla da UF,Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,Nome do Município_y,cactus
190,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2017,260.89,7.4,315.61,6.7,Acaraú,não cactus
191,CE,2300200,Acaraú,23000465,Joao Lourenco Pereira Rocha Eeief,Municipal,2019,,,,,Acaraú,não cactus
192,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2005,,,,,Acaraú,cactus19
193,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2007,,,,,Acaraú,cactus19
194,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2009,184.05,4.1,232.26,3.6,Acaraú,cactus19
195,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2011,190.58,3.9,242.88,3.8,Acaraú,cactus19
196,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2013,209.36,4.6,247.31,3.8,Acaraú,cactus19
197,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2015,226.39,4.9,266.9,4.6,Acaraú,cactus19
198,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2017,237.24,6.3,297.01,6.1,Acaraú,cactus19
199,CE,2300200,Acaraú,23000473,Joao Ribeiro Ramos Eeief,Municipal,2019,237.17,5.5,276.11,5.2,Acaraú,cactus19
200,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2005,,,,,Acaraú,não cactus
201,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2007,,,,,Acaraú,não cactus
202,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2009,,,,,Acaraú,não cactus
203,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2011,,,,,Acaraú,não cactus
204,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2013,198.06,5.1,,,Acaraú,não cactus
205,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2015,,,,,Acaraú,não cactus
206,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2017,213.12,5.8,280.36,5.5,Acaraú,não cactus
207,CE,2300200,Acaraú,23000481,Joaquim Jose Rodrigues Eeief,Municipal,2019,270.83,7.3,278.16,5.7,Acaraú,não cactus
208,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2005,,,,,Acaraú,não cactus
209,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2007,,,,,Acaraú,não cactus
210,CE,2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2009,,,,,Acaraú,não cactus
